STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,DAPR,DAPR_ATTRIBUTES,MDPR,MDPR_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,TOBS,TOBS_ATTRIBUTES
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",41.7372,-87.7775,189,2/29/28,,,,,0,"T,,0,",3.9,",,0",-2.8,",,0",,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",41.7372,-87.7775,189,3/1/28,,,,,0,"T,,0,",2.2,",,0",-6.7,",,0",,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",41.7372,-87.7775,189,3/2/28,,,,,0,"T,,0,",5.6,",,0",-3.9,",,0",,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",41.7372,-87.7775,189,3/3/28,,,,,0,",,0,",2.8,",,0",-9.4,",,0",,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",41.7372,-87.7775,189,3/4/28,,,,,0,"T,,0,",5,",,0",-8.9,",,0",,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",41.7372,-87.7775,189,3/5/28,,,,,0,",,0,",-2.2,",,0",-13.3,",,0",,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",41.7372,-87.7775,189,3/6/28,,,,,0,"T,,0,",3.3,",,0",-5.6,",,0",,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",41.7372,-87.7775,189,3/7/28,,,,,0,"T,,0,",6.1,",,0",-2.2,",,0",,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",41.7372,-87.7775,189,3/8/28,,,,,9.1,",,0,",5.6,",,0",-2.2,",,0",,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",41.7372,-87.7775,189,3/9/28,,,,,1.5,",,0,",3.9,",,0",-2.8,",,0",,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",41.7372,-87.7775,189,3/10/28,,,,,0,",,0,",0.6,",,0",-2.2,",,0",,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",41.7372,-87.7775,189,3/11/28,,,,,1,",,0,",6.7,",,0",-1.1,",,0",,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",41.7372,-87.7775,189,3/12/28,,,,,0,"T,,0,",17.8,",,0",0,",,0",,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",41.7372,-87.7775,189,3/13/28,,,,,3.8,",,0,",12.8,",,0",1.1,",,0",,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",41.7372,-87.7775,189,3/14/28,,,,,0,",,0,",5.6,",,0",-1.1,",,0",,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",41.7372,-87.7775,189,3/15/28,,,,,0,",,0,",2.2,",,0",-3.3,",,0",,
